date,location,rows,size_bytes,source,collected_at
1995-01-02,parquet/1995-01.parquet,203,117096,old,consolidated
1995-01-03,parquet/1995-01.parquet,258,117096,old,consolidated
1995-01-04,parquet/1995-01.parquet,249,117096,old,consolidated
1995-01-05,parquet/1995-01.parquet,229,117096,old,consolidated
1995-01-06,parquet/1995-01.parquet,245,117096,old,consolidated
1995-01-09,parquet/1995-01.parquet,245,117096,old,consolidated
1995-01-10,parquet/1995-01.parquet,253,117096,old,consolidated
1995-01-11,parquet/1995-01.parquet,254,117096,old,consolidated
1995-01-12,parquet/1995-01.parquet,236,117096,old,consolidated
1995-01-13,parquet/1995-01.parquet,229,117096,old,consolidated
1995-01-16,parquet/1995-01.parquet,245,117096,old,consolidated
1995-01-17,parquet/1995-01.parquet,296,117096,old,consolidated
1995-01-18,parquet/1995-01.parquet,269,117096,old,consolidated
1995-01-19,parquet/1995-01.parquet,283,117096,old,consolidated
1995-01-20,parquet/1995-01.parquet,295,117096,old,consolidated
1995-01-23,parquet/1995-01.parquet,285,117096,old,consolidated
1995-01-24,parquet/1995-01.parquet,303,117096,old,consolidated
1995-01-25,parquet/1995-01.parquet,280,117096,old,consolidated
1995-01-27,parquet/1995-01.parquet,282,117096,old,consolidated
1995-01-30,parquet/1995-01.parquet,282,117096,old,consolidated
1995-01-31,parquet/1995-01.parquet,323,117096,old,consolidated
1995-02-01,parquet/1995-02.parquet,309,150161,old,consolidated
1995-02-02,parquet/1995-02.parquet,290,150161,old,consolidated
1995-02-03,parquet/1995-02.parquet,319,150161,old,consolidated
1995-02-06,parquet/1995-02.parquet,321,150161,old,consolidated
1995-02-07,parquet/1995-02.parquet,337,150161,old,consolidated
1995-02-08,parquet/1995-02.parquet,399,150161,old,consolidated
1995-02-09,parquet/1995-02.parquet,405,150161,old,consolidated
1995-02-10,parquet/1995-02.parquet,408,150161,old,consolidated
1995-02-13,parquet/1995-02.parquet,406,150161,old,consolidated
1995-02-14,parquet/1995-02.parquet,442,150161,old,consolidated
1995-02-15,parquet/1995-02.parquet,410,150161,old,consolidated
1995-02-16,parquet/1995-02.parquet,427,150161,old,consolidated
1995-02-17,parquet/1995-02.parquet,425,150161,old,consolidated
1995-02-20,parquet/1995-02.parquet,422,150161,old,consolidated
1995-02-21,parquet/1995-02.parquet,442,150161,old,consolidated
1995-02-22,parquet/1995-02.parquet,416,150161,old,consolidated
1995-02-23,parquet/1995-02.parquet,412,150161,old,consolidated
1995-02-24,parquet/1995-02.parquet,413,150161,old,consolidated
1995-02-28,parquet/1995-02.parquet,430,150161,old,consolidated
1995-03-01,parquet/1995-03.parquet,435,192411,old,consolidated
